,N°,PuissanceWc,HMTm,CostTND
,1,1050,21,0.128
,2,1120,30,0.171
,3,1190,35,0.242
,4,1200,60,0.366
,5,1200,36,0.244
,6,1260,25,0.256
,7,1300,20,0.264
,8,1350,20,0.274
,9,1400,25,0.213
,10,1450,25,0.221
,11,1500,30,0.254
,12,1550,30,0.263
,13,1600,30,0.271
,14,1680,25,0.342
,15,1700,30,0.288
,16,1750,30,0.296
,17,1800,35,0.305
,18,1870,43,0.285
,19,1900,38,0.29
,20,1950,38,0.297
,21,2000,40,0.305
,22,2100,40,0.32
,23,2200,35,0.268
,24,2380,38,0.363
,25,2380,35,0.29
,26,2400,40,0.366
,27,2500,40,0.381
,28,2635,39,0.402
,29,2700,40,0.329
,30,2880,36,0.439
,31,2880,75,0.293
,32,2900,40,0.354
,33,3000,45,0.457
,34,3100,45,0.473
,35,3200,60,0.39
,36,3360,65,0.41
,37,3400,30,0.346
,38,4000,50,0.488
,39,4500,45,0.392
,40,5000,49,0.436
,41,5500,46,0.419
,42,6000,55,0.523
,43,6500,60,0.522
,44,7000,70,0.534
,45,7650,156,0.583
,46,8000,80,0.581
,47,8500,100,0.648
,48,8500,220,0.864
,49,9000,240,0.686
,50,9500,150,0.579
